id,date_creation,nbtweets,nbsuiveurs,nbamis,profil
12879,12/07/2010 19:40,14890,397,496,cadista-culé carnavalera 100%  ....Protagonista de la película de mi vida....Bípeda amante de los cuadrúpedos; animalista para resumir!!
3983,15/08/2008 14:43,35265,5067,179,Founder of Black Ducks program on Youtube; to interview Arab Atheists and Agnostics.
4630,20/02/2009 21:11,38403,528,373,Politics; food; music general chat in English and French with a smattering of Dutch.
49827,07/05/2014 20:16,110,37,33,I am Who I am and only GOD can judge me Insta:GloryshkaPety
32605,05/01/2013 14:20,448,32,28,Instagram: alexmeganfox. #Forza&Onore
37074,23/04/2013 12:04,442,21,78,London-Paris-Stockholm-Beijing... And more to come. ?
21743,24/01/2012 07:53,224,14,92,Philanthrope désabusé à mes heures perdues
23528,14/04/2012 14:20,557,92,91,#TeamFcl?
51870,29/07/2014 16:09,75,90,8,Bienvenue Au Camping à partir du lundi 18 août; 17h05 sur #TF1 !! #Bienvenueaucamping
18366,17/07/2011 20:14,4332,173,322,The least cool person you will ever meet.
16482,24/03/2011 22:57,11001,139,75,Yann Kenny Seri Repose en paix
8690,19/09/2009 09:57,23391,194,117,• Apple addict • Amateur photographer • Old Esport player : Battlefield 3 • Halo 3 • Rainbow Six Vegas 1 & 2 • @LaurenDnds ??
19917,23/10/2011 17:02,8158,215,197,Wilzy - Beware of the Zombie Gardener
35241,04/03/2013 18:10,34,114,798,Music lover; fashion lover; art lover; travel lover
20709,05/12/2011 08:42,1182,549,1208,Voyageur; entrepreneur; vélophile. Mon compte de voyage et pour The SunTrip: @Ekistan_ Aussi actif pour @PROVELOLausanne et @expo64_lausanne
17705,08/06/2011 17:40,254,18,62,Enchantée
23783,28/04/2012 16:08,414,43,126,Petit nouveau sur twitter ! hann *découvre*
19533,28/09/2011 14:01,38167,228,166,Ateo; escritor frustrado y gamer apasionado desde 1999. Un tipo excéntrico en sus ratos libres. Cuando tutto va bene; avanti con il pene. Ecnos te Mupsi.
36564,08/04/2013 15:34,824,10181,303,press@redone-records.commanagement@redone-records.combookings@redone-records.com
16458,23/03/2011 12:23,259,58,258,Mon agenda est taillé dans le cuir de 4 vaches et ma vie privee ressemble à ce qui reste d'elles.
9556,20/11/2009 10:01,7161,140,145,#ElectronicMusic #NewTechnology #Geek #VideoGames #Sports
11767,29/04/2010 16:20,2672,156,331,Escritor Literatura y Lenguas Zombies (Latín y Griego) · Rock Guitar · Junguiano · Mormón · América CF · Antidemócrata · CocaCola
24881,26/06/2012 13:38,734,14,48,Étudiant en informatique à l'EPSI Lyon - Free Software Enthusiast
40592,05/08/2013 12:21,11909,312,157,Killian; 18.12.13 ?
21841,28/01/2012 18:58,17270,550,792,T'es celib ? Non T'es en couple ? Nan j'ai juste faim laissez moi manger. 17 yo #TeamBarbz #TeamES
31381,02/12/2012 14:56,370,43,166,modern dreamer.
19603,03/10/2011 12:11,3141,767,1632,De retour parmis les mortels; appellez moi dome de fer
46417,26/10/2013 16:28,620,75,67,#Team94 #TeamReal #TeamManCity #TeamNiro #TeamBooba
14524,01/11/2010 21:36,2451,269,747,R&XConcept #Promoteur #PhotoCamera #Teampolyvalent #Teamlesiréduktibles #TeamEnjavéy and RMXEvents #LifeYouthMusicGROUPE  #GhettoGang #TDLP #NS13 FREE YAHO'G
38996,15/06/2013 23:57,80240,5201,5184,??????????????????????????????????
14189,11/10/2010 16:10,3200,462,1526,Nerd; Designer; Marketer. I promote creativity and innovation into organizations to design services & experience. Web citizen since 1995. Photo: Maurice Elmaleh
30718,12/11/2012 13:47,3030,535,699,Happiest in wild places; be they ancient woodlands; river estuaries; sea cliffs; beaches or mountains. Amateur Landscape photographer. Patagonia gear fan.
51633,21/07/2014 13:58,1067,51,409,Die Vögelein schweigen
34835,23/02/2013 19:41,123,135,671,Follow me ?? !
39158,20/06/2013 08:30,2681,152,118,Mes copains || Mont de marsan
9587,23/11/2009 01:25,2772,3152,201,Official. Director/Founder: KALAWEIT Foundation/Radio/Reserve. Wildlife/Gibbon rescuer. Writer. Paramotor pilot. TV/RADIO Host // KALAWEIT APP: Android/Iphone
50868,06/06/2014 17:48,296,67,12,| Joueur competitif sur Ghosts | XIV yo | former : ErreA;Capsule;RedWin;EssentiaL;VantiC | AR |Next event : FCO8 | let's go !
42882,09/09/2013 03:50,8342,888,1939,Te sigo....100% Opositora sin disfraz!!! Misión Bloqueo #ModeOn
47096,27/11/2013 16:32,45,13,134,#rapmaker; punchlinemaker; serguei kalashnikoV
23479,11/04/2012 19:40,219,208,259,co founder of 727sailbags Into sailing and Soccer Like Economy and Entrepreneurship HEC / Telecom Paris graduatedBased in Paris / Lorient
48377,12/02/2014 13:53,550,47,71,Pokofan un jour; pokofan toujours !  #pokorette.
11691,24/04/2010 16:25,19958,640,221,19 yo | French student | « Quoi qu'il arrive; crois en toi. Crois en la vie. Crois en demain. Crois en chaque chose que tu fais. » ?
38542,05/06/2013 17:17,630,333,71,Association Nationale Française des Ergothérapeutesfédère les ergothérapeutes pour une pratique de qualité et un développement de la profession
49332,08/04/2014 14:26,4,1,33,Retrouvez [ bientôt ] toutes les pièces du Buzz avec Buzzles.fr !
21133,25/12/2011 22:30,10043,1656,1693,† Que vous mettiez votre rouge a levres et que vous apportiez un preservatif avec vous il n'y a aucune difference † By #LadyGaga
39535,02/07/2013 12:01,16248,331,214,Combien de désirs assouvis ont engendrés une tristesse infinie [ Ibn Al Qayyime ]
40172,22/07/2013 21:54,30479,407,400,?NTSL?
23268,31/03/2012 06:21,234,25,73,Eh; eh... Tu veux un mi-choco ?
30893,17/11/2012 22:02,4525,804,1437,Journaliste au Parisien - Compte personnel - Mes tweets et RT ne traduisent pas la ligne éditoriale de la rédaction
15915,16/02/2011 23:19,916,106,179,Translator & Interpreter (Ankaraspor A.?)
37100,24/04/2013 07:41,271,23,114,Voyageur dans l'âme - Européen convaincu -http://www.choisirnotreeurope.fr
9091,15/10/2009 15:15,295,314,211,Généalogiste amateur - Président et webmaster du Centre généalogique des Côtes d'Armor - #gene22 #genealogie #bzh #bretagne #cotesdarmor #illeetvilaine
44486,21/10/2013 15:23,1376,56,322,Get local and world news; showbiz/entertainments; sports and bussiness news.
7073,23/06/2009 16:20,34402,784,2001,http://monstar.fm/harunojazz69/?????????????????????11?????????
33016,14/01/2013 20:25,1242,100,100,Ex fan des 2be3.
5865,22/04/2009 21:00,958,761,872,Diplomacy & aviation geek. Proud dad of 2 & @franceonu. Unrepented spokesman. Opinions personal; RTs not.
10963,05/03/2010 18:06,6869,126,184,Cogito ergo nevrosum. L2 Psychologie. Kiss kiss love love.
21544,14/01/2012 22:30,1204,214,275,Adjointe au Maire de Cognac chargée des Solidarités; de la Prévention; de la santé et du handicap.
43860,01/10/2013 14:49,6829,1078,1283,??????No.753 ???/???/??? /????/????/????????/ ????/ ???/BUMP /???”???”??????!
31147,25/11/2012 14:42,1367,732,2029,ON EST TELLEMENT TOUS PAREILLE; QU'ON CROIT TOUS QU'ON EST UNIQUE !
36068,25/03/2013 19:49,77072,1537,1216,26|04|14 Allah y rahmo .. ?? .
24029,11/05/2012 17:46,8960,214,126,Paris| You know.. feeling good; living better
7382,07/07/2009 09:29,1219,163,374,Journaliste Ouest France
49551,20/04/2014 17:44,110,162,404,?PRONOSTICS = FAVORIS? Pronostics.Footballistique@gmail.com
49195,18/03/2014 14:13,456,30,27,Tant que je sais qui je suis; ce que je veux et pourquoi je suis là; je suis forte et inattaquable; rien ne pourrait me faire dévier. ?
32502,02/01/2013 23:30,715,582,267,Sigal model
19999,28/10/2011 08:59,15,14,19,Directeur et fondateur de Digifactory depuis 14 ans; Expert en développement web; CMS & E-commerce.
46393,25/10/2013 08:09,596,9,24,instagram A92V. Facebook Vincentamoddio model photo
14907,02/12/2010 20:35,274,46,72,Front end developer and Mobile Developer
7931,04/08/2009 19:13,2779,907,1019,Luxury city apartment rental company. Accommodation for short stay holiday + business rentals worldwide. We keep up to date with cultural events in each city.
30640,10/11/2012 11:03,52,17,48,Ne vous trompez pas entre ma personnalité et mon attitude; ma personnalité est qui je suis; tandis que mon attitude dépend de qui vous êtes!
43363,18/09/2013 17:49,10321,398,801,la voix des opprimés #justice #paix #development
18246,10/07/2011 17:34,44232,203,78,On m'demande s'que j'fais dans la vie; pour l'instant j'essaie d'baiser ... #CriksFamily #ORTEKIENS #CartelParisien
23587,17/04/2012 21:04,1369,135,86,#WorkHard #Ambitions #Rêves #Détermination #PlainCot #Football #Family ???
22048,07/02/2012 23:10,37183,221,142,#TeamOM #team237 92
49387,11/04/2014 20:02,2141,232,909,3years left. #21 ? There's a special place in hell reserved just for me. It's called the throne.
36882,17/04/2013 20:12,426,41,154,ON FAI DU CHIFFRE IL SE METE DES GIFLES!!
40531,03/08/2013 12:51,15591,280,124,Fifteen | Chris Brown | Music | IG : missyehenderson
52191,11/08/2014 12:56,228,78,493,Infos; Opinions & Culture(s). #Musicology #Technology #Politics  #Art #World #Digital #Journalism
8185,19/08/2009 13:18,6661,234,131,Lost somewhere in Paradise; come find me... ?
23749,26/04/2012 20:58,2204,134,94,Vincent dargent
16350,16/03/2011 18:26,48622,3929,518,I'm your average 155 cm of wit. ??? ?? ??? ?????? ?? ???????.
12131,23/05/2010 11:46,26275,2171,2391,fangirl law sasuke; horror  music vid games piercing  #taken by @KikkuOkutama...
35009,27/02/2013 17:29,80,8,25,Épicurienne;fan de cinéma et séries en tout genres;folle de musique; et folle tout court parfois; maman comblée; j'aime la vie voilà tout :)
8101,14/08/2009 13:21,8036,278,127,17;? J'ose croire n'être faite comme aucun de ceux qui existent.
31318,30/11/2012 17:06,33,10,84,Journaliste
22733,06/03/2012 19:17,5218,696,600,J'ai trois passions : mes enfants d'Amour; mon épouse chérie et l'immobilier. Et vous ?
34008,07/02/2013 09:04,211,49,138,Yeah; ponder it; do you want this? It's no wonder you losing your mind the way it wanders
6835,12/06/2009 18:32,10261,23220,18989,Journaliste et consultant en marketing internet; médias sociaux et référencement web. SEO SEM SEA SMO.
28110,29/08/2012 21:30,450,149,268,Project Manager for Social Innovation and Healthy Anticipation. Director @FEDITOBXL Brussels Addiction Federation.
40233,24/07/2013 21:48,16865,3884,3875,Presentador; Entrevistador ;Modelo; Actor y Colaborador con medios de TV y Radio. Tiene diferentes premios. mas info +34 639888209
13684,05/09/2010 17:53,432,173,588,LOVE*****LIFE*****LOVE*****LIFE*****LOVE...
46783,11/11/2013 16:43,543,89,97,Winter is Coming...
47980,20/01/2014 22:31,13,94,1126,http://www.Trendle.net est le premier réseau social de mode permettant à ses membres de recevoir gratuitement des conseils personnalisés de stylistes.
11308,30/03/2010 13:31,1492,86,102,Owner; TVCO http://www.tvco.eu
12887,13/07/2010 07:07,20611,171,98,Zombie en herbe  PSG   23años; Tu connais pas mais tu vas connaître .  Placeur de Quenelle . Pas besoin de faire ta petite chatte ici ça chauffe J'te l'dis
30246,30/10/2012 14:51,4584,250,109,????? ??? ????? ??????
3885,12/06/2008 13:28,94405,984,297,Jornalista/Periodista/ Journalist/ Giornalista - Sports; music; culture; travel and more...
30365,02/11/2012 23:57,2113,34,64,Squatteuse de Twitter et des réseaux sociaux. Si vous vous abonnez; c'est à vos risques et périls.
48813,04/03/2014 15:03,2575,64,84,0904??? Seydi.
3885,12/06/2008 03:19,34070,848,477,Troll farceur — Consultant et Formateur Apple — Architecture et sécurité des systèmes d'informations — Développeur OS X / iOS à mes heures — INTP / INFP
49386,27/03/2014 01:38,499,120,398,BSc in Political Science at UB. Interested in anthropology; middle east and geopolitics. I believe in justice. Peace under construction.
20376,18/11/2011 00:57,41835,3503,3666,Je suis une boule d'émotion. #Bah #Tabarnance ?QUEEN? Suivez--- @Chaton1971 Ma cache http://lilie71.tumblr.com
21557,15/01/2012 15:02,43,2,6,J'habite Marseille; j'ai 62ans j'aime le sport la politique et je fais des ateliers théatre et j'ai un fils et deux petits enfants.
19321,14/09/2011 10:18,371,42,93,corporate branding & communication for thinkers & doers who wanna stand out
49007,21/03/2014 14:13,2084,75,73,??????????????????????????
20127,04/11/2011 21:01,6547,125,121,Etudiante en Graphisme
17031,29/04/2011 17:00,2184,202,351,Spanish; jurist; Catholic; environmentalist; faithful friend and accompanied by an incredible woman. Knowledge does not occupy space and exalts you understand
33155,17/01/2013 20:41,83592,2253,1898,Don't talk to me if your team hasn't won the sextuple.
15464,16/01/2011 21:39,10261,145,329,Seeking for greatness. Sports fan in general; both footballs in particular. Atleti de Madrid siempre. Gil nunca. @_VamosAtleti
26672,12/10/2013 19:53,193,21,46,22 years old; Lyon; France.
9430,10/11/2009 13:46,785,39,116,whatever tickles you fancy...
2950,06/09/2007 06:37,16322,752,764,A diversified multicultural postmodern deconstructionist. Politically; anatomically; and ecologically incorrect.
26465,03/10/2013 11:11,993,61,58,#18  #45                                                             #Stapsienne à mes heures perdues.
15974,20/02/2011 20:11,21150,403,694,Aficionado al Beisbol; la Historia; me gusta el francés y el cine; detesto a todos los políticos... ahh; y me encantan las Finanzas en que soy Agente d Seguros
21295,02/01/2012 23:29,1148,52,229,/ Etudiant en L1
46828,13/11/2013 20:03,1265,90,79,Rien a foutre de mourir jeune tant qu'on a tout vécu; on ne m'enterrera pas avec toutes mes tunes  #teamfalcko #teamPSG
33540,27/01/2013 12:25,1416,404,1015,One direction; my life. 21 Juin 2014. WWAT is perfect.
25036,04/07/2012 19:31,30186,246,216,Apéroooooooo !
51900,30/07/2014 18:37,694,88,73,dünyada sadece iki tür insan vard?r; iyi insanlar ve kötü insanlar
14132,07/10/2010 15:03,33,172,150,AICA France - Section française de l’Association Internationale des Critiques d’Art. A pour but de promouvoir la libre expression de la critique d’art
4666,24/02/2009 16:57,632,221,689,Journaliste. Ex-redchef@LCI. Ex-Asahi shimbun. http://Paris.Tokyo.#newsaddict. @ExMastMediaScPo #Inalco
24275,24/05/2012 16:52,788,378,1999,Ilyes de Tlemcen #RealMAdrid http://facbook.com/toni.ylyes http://Instagram.com/ilyesToni #TeamAlgérie #musicMyLife #trance #house #Chic #Élegance
21727,23/01/2012 15:11,26343,382,526,Q.Hogg: Czyste sumienie nie zast?pi broni
17952,22/06/2011 22:34,1064,45,114,Je vois la twitosphère flottant dans l'espace.
30824,15/11/2012 17:01,7487,602,617,Médecin soins palliatifs. Adhérent ADMD 19. Délégation de la Corrèze.
15276,03/01/2011 00:51,48791,281,290,Algerienne-Comorienne; enfantée à Avignon d'une mère Ch'ti; Je vis à L'heure Américaine en parlant Espagnol; un verre de Saké à la main #Discretement
10660,12/02/2010 14:30,5293,595,1226,Communications specialist; branding; magazines; books; project mgt & copywriting etc... Retraining as a chef!
9786,09/12/2009 23:14,23453,2357,669,Nacido en Ibagué (Tolima). (Mal)críada en la Ciudadela Colsubsidio (Bogotá). Educado en ParqueLasPalmas (B/manga) Residenta en París (Natalia) y París (Texas)
18332,15/07/2011 17:16,56524,3272,407,i like a band; they do weird shit sometimes.
19012,24/08/2011 20:41,20855,2290,1182,|  I live not; I'm just trying to survive  |   Overload   |    od 0/5 ×  |
6886,15/06/2009 19:35,1199,121,264,Président de @BreizhGaming_ - Staff @LFFV_ - Fan d'esport. Mes tweets engagent seulement l'idiot qui les prononcent ..
29387,05/10/2012 19:37,1257,106,111,#Auteur #Développement #Afrique #Afro #Optimiste #Young #Leader For African Development #YLAD
52161,22/07/2014 14:30,428,52,159,Lol ur not Austin Butler
22280,18/02/2012 22:20,13555,489,830,Never argue with an idiot. They will bring you down to their level and beat you with experience | Misanthrope | Troll
19080,29/08/2011 03:40,15675,7568,8247,FR?CTIVIST(S) -- A body of individuals who fight for a purpose higher than self. #Ban #Fracking #nonviolence #peaceful #fractivist http://www.facebook.com/pages/Fractivist/411881478842688
38003,20/05/2013 17:11,331,29,73,Chargé de relations institutionnelles; plaidoyer et de l'Observatoire OPNALIM aux Banques Alimentaires #solidarité #alimentation #politique
24898,27/06/2012 11:20,2132,5,41,i like music
4052,23/09/2008 16:58,56166,1514,1317,DC native. You're going to get marketing; the news biz; geek stuff; Nats; Duke; Redskins; running and assorted other DC-area things.
14050,01/10/2010 11:42,38556,1828,605,Pas sympa / @i24news TLV  / Ex @FrProtestante @Tracks_Arte / SR de l'ombre
20015,29/10/2011 08:07,532,71,708,????? ??? ??????? ?? ????? ????????? ????????? ??????? ???????? ???????
33544,27/01/2013 14:14,3289,112,164,???????????/??30th/??????/ONE DIRECTION/????????/??????????????
13019,22/07/2010 13:38,5227,581,160,Licencié du Parc des Princes par le Plan Leproux #KOB
15762,07/02/2011 00:46,136244,8002,2998,Je fais des choses fofolles avec les medias. IRL je dirige @agenceozer . Mes tweets engagent 140 caractères. ( ??? ??????) http://salomerainbow.tumblr.com/
37510,06/05/2013 06:52,7567,615,451,????????????????????
23930,06/05/2012 11:55,10633,89,88,Donnez leur l'eden ils en feront l'enfer.
10957,05/03/2010 11:01,2981,135,229,Ex assistante journaliste/animatrice radio/mon île Mykonos/passions: le journalisme/la musique/le bon vin.Mon combat journalier pour la défense des animaux.
10782,21/02/2010 19:37,348,202,517,Food; World; Culture; Ecology; techno & Com.
36604,09/04/2013 18:39,43,3,15,Enseignant en lettres modernes Ile de La Réunion
48853,13/03/2014 07:53,95,33,90,Law student at UKC; Chairman Kent FC; CFC
47958,19/01/2014 16:19,5751,45,213,RTs are what me finds witty; interesting; ironic; or non-trite.
19846,19/10/2011 07:04,305,87,137,Consultant indépendant en Stratégie de Marketing digital #lewebestroi. Passionné par la veille sur le #webmarketing !
13669,04/09/2010 15:02,2473,226,748,Ingénieur et technicien en électronique. Pour une société plus juste et intègre qui partage sa richesse.
51085,07/07/2014 13:43,72,17,61,Groupe TOLMAR. Spécialiste en immobilier. Courtier installé sur Bordeaux depuis 2007. Contact : miralles@tolmar-invest.com
33261,20/01/2013 13:40,6593,1415,1001,Directeur #Marketing #digital et #communication -  Paris - #mbamci - conférencier au #cnam - Blog : http://www.digitalb2b.fr #b2b #digitalbtob
53115,10/10/2014 10:19,291,6,52,Quand je fais de la purée mousseline; je suis sûre de ce qu'il y a dedans #illuminatoo
24728,18/06/2012 07:28,678,86,97,Teachers for the 21st century: News on teaching and education worldwide from key media and actors such as Unesco; EI; teachers training instituions...
16061,26/02/2011 16:58,3981,246,233,Limitations live only in our minds. But if we use our imaginations; our possibilities become limitless. UWNWA
30026,24/10/2012 10:01,2341,3318,2238,Nous sommes Hello bank! Votre nouvelle #banqueenligne; mobile; simple et innovante. Venez échanger avec la Hello Team sur la #banque de demain.
48820,11/03/2014 09:12,129,143,125,Aktuelles aus dem Goethe-Institut Paris. Quoi de neuf au Goethe-Institut Paris? Impressum: http://goethe.de/impressum
10537,03/02/2010 15:49,3493,398,199,Vainqueur Africa #Android Challenge Côte d'Ivoire 2013 / Most Prolific Developer #AAC2014. Download my apps or die trying https://play.google.com/store/apps/developer?id=Ismael+To%C3%A9
36697,12/04/2013 11:47,10831,186,101,Nos relations avec les keufs sont souvent tendues; celles avec les meufs remplies de bleuf de sous entendus
49366,10/04/2014 13:39,161,23,39,LES GENS MIELLEUX N'ATTIRENT QUE LES ABEILLES
14663,12/11/2010 20:13,16259,141,259,http://SUBURBZINFLUENCE.BLOGSPOT.COM
32116,23/12/2012 22:24,6967,356,265,#TeamKtm #TeamChicha #TeamAlgerie #TeamBooba 9?3?
4004,28/08/2008 21:18,19147,993,892,Belgian girl lost in Finland sharing the gold nuggets picked online (in Eng & Fr). Je parle de lecture; copyright; actu; photo; nouvelles technologies...
48572,24/02/2014 09:14,4969,81,75,la prépa c'est trop cool
38160,25/05/2013 06:33,362,3,4,Transactions - Locations - Administrateur de biens - Estimations - Expert immobilier
21468,11/01/2012 06:01,445,151,677,Vous aimez la musique; alors rendez-vous sur actu musique !!!
6752,08/06/2009 15:03,2951,296,338,Diplômé de #LMA #SorbonneParisIV - ex @AnneValerieHash PR Assistant
16828,16/04/2011 19:17,2529,171,510,Aligot - Magret
46368,23/10/2013 01:19,1292,110,108,Mon pays ce n'est pas un pays c'est l'hiver :-) ?Québec? ??????????? Droits des femmes.. Et bien plus ?
8024,10/08/2009 11:10,448,2614,466,Éditions Phébus : littératures étrangères et française; beaux livres. Retrouvez-nous sur Facebook : http://on.fb.me/XSM62F
10732,17/02/2010 20:37,1596,579,433,Concevoir et mettre en oeuvre des solutions pour optimiser le recrutement; la GPEC; la mobilité interne et la formation @apec...http://viadeo.com/s/53TZ2
52746,31/08/2014 11:01,74,48,147,Les meilleurs burgers de Rennes
23727,25/04/2012 15:01,602,60,85,Les aveugles veulent nous indiqué le chemin #PDRG
23056,20/03/2012 17:41,18749,225,178,Knowledge is knowledge; see everything my brother . #WuTang #Rakim
47690,03/01/2014 10:11,51,30,91,#MS Entertainment and Media Student  @KEDGEBS; #Volley
23288,01/04/2012 07:48,668,51,75,YOUNG WILD AND FREE
49068,23/03/2014 20:12,6767,2315,2367,Directioner and proud ?? @Harry_Styles you are perfect ? Follow me please ? 21/06/14 ? The best day of my life ? (Je follow back )
50181,23/05/2014 16:06,41,4,14,Tour Eiffel vista da casa mia!!!
4373,17/01/2009 22:39,804,118,442,"IoT - Home Automation - Innovation et tout le reste...  also known as @lezepf ,-)"
53060,17/09/2014 17:17,3,0,43,Académie de formations en  communication & conseil en image; mode & beauté .
15194,26/12/2010 22:47,30499,65,253,A copy; a mask; an imposter. No one that I know.
30001,23/10/2012 15:23,797,87,373,\ LùT|-|êr / J?rk3r / $kæt?r / 17 / Dancing is a habit
46669,06/11/2013 12:44,18312,1351,283,Compte officiel: @EddySS7
16694,07/04/2011 19:20,480,42,83,L'amitié est élixir de vie
46911,29/11/2013 15:04,341,56,262,Coordonnatrice; Chroniqueuse; Sociologue de formation; Maman; Accompagnante à la naissance; Spécialiste en interculturel; Zébrette certifiée. #teamleszebres
19751,13/10/2011 14:01,18905,556,875,kik :DersonG.  #whatsapp :36325832 ...#Bbm pin:7A023E2E cool n' funny
49102,14/03/2014 20:33,93,21,36,Dire tous haut ce que beaucoup pensent tous bas !!!
43708,27/09/2013 07:27,232,84,99,Qui a dit que la femme au foyer était désespérée Facebook: http://on.fb.me/1ilMyO7
12025,16/05/2010 19:35,218,45,218,Professional Golfer - https://www.facebook.com/pages/Marwann-chamsseddine/399644836767785
3941,22/07/2008 17:28,66827,4135,1541,Lover of our planet; conscious travel & tourism; friends; gardening; soul & chocolate. May grow up one day. Proud Mum to Kezia & Aleck and Grandma to Finlay.
52779,02/09/2014 09:38,19,21,78,Responsable RH - experte en développement RH; praticienne #MBTI & coach - twitte sur l'#emploi; les #RH; le #coaching et #Grenoble
48965,09/03/2014 19:29,33,19,102,Hybride informaticien-lettré-linguiste
8327,27/08/2009 16:30,23521,2171,2386,Prof de maths -  #RCLens -#UDI- #mariagepourtous - Tête de liste législatives 2012 (Circo 7507) - Tête de liste pour #Paris2014 dans le 3eme - Foot politique
48373,12/02/2014 08:01,214,66,101,#lesmillsaddict et apprentie #runneuse. Je parle #fitness; #sport; #lifestyle sur mon #blog. Membre fondatrice de #werun94
28877,19/09/2012 18:18,587,128,338,Journaliste en construction à l'IUT de Cannes. Mes tweets n'engagent que Ron Wisley; Tintin et Olaf Tryggvason.
8015,09/08/2009 20:09,4896,626,394,[If you don't plan you plan failed projects. But AGILE is eating the world of Project Management] President@PMI-GREECE; 2005-2014; CEO@12PM Consulting; 1988-now
6624,01/06/2009 13:21,706,71,167,French blonde (understand idiot); translator-wannabe; geek; fanartist and still a lazy bum.
24065,13/05/2012 17:15,6504,412,500,Corse; Gaulois et Breton. L'intelligence a des limites; la connerie non: avec la gauche tout est possible. Je vote UMP. Etre gentil c'est pas un métier.
14892,01/12/2010 15:03,24283,4363,59,Cycling related tweets and retweets. Just stating the headlines.
52514,01/09/2014 00:49,125,0,1,Jornalista. Edtora de Cultura.Correspondente do Portal Terra. Taarela.49% bruxa e 51% fada.Pevertida; carinhosa; doce e festeira. Tô perdida; não me siga...
48442,16/02/2014 10:55,2801,630,1573,Tatiana et Xavier m'ont follow 27/08/2014 .Alicia et chloey m'ont follow 29/08/2014 Jo des chtis ma follow 05/09/14 et marion 09/09/2014 Alice Idv3  ma follow
47004,22/11/2013 18:09,41,12,51,Guide multimédia interactif sur la planification territoriale de développement durable; diffuseur de connaissances et soutien aux collectivités territoriales
17178,08/05/2011 09:38,13789,8090,1078,Editor de moda en RTVE.ES y autor del blog LA VIDA AL BIES
11678,23/04/2010 20:13,24859,479,212,Bordelais d'adoption et étudiant en faculté d'économie.
17285,14/05/2011 21:42,1962,72,293,Photography; Improvised Music; Technology; Economics & Geopolitic.
10012,29/12/2009 14:08,1283,28,54,??????????????
14950,06/12/2010 15:58,203,288,228,superficially good grammar is the beard of the internet http://instagram.com/colindavidstewart
9680,30/11/2009 20:34,579,187,573,Founder; Chief Scientist @ eXenSa : #recsys and #textmining for #BigData. #MachineLearning; Startups.  http://blog.guillaume-pitel.fr
